intelligence_id,title,source_type,source_path_or_url,published_at,collected_at,market_scope,topic_tags,strategy_tags,evidence_type,quality_score,novelty_score,actionability_score,data_availability,bias_risk,recommended_action,status,linked_strategy_task,reviewed_at
INT-AUTO-6e71e7fb0d9c,An interval constraint-based trading strategy with social sentiment for the stock market,paper,refdocs/papers/en/markdown/09_social_sentiment_interval_trading_strategy.md,,2026-06-23,,sentiment,text-event,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-5616ad76708c,Risk-Adjusted Deep Reinforcement Learning for Portfolio Optimization: A Multi-reward Approach,paper,refdocs/papers/en/markdown/10_risk_adjusted_drl_portfolio_optimization.md,,2026-06-23,,deep-learning;portfolio;risk,ml-baseline;portfolio-construction;risk-control,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-b53fafa24d3a,MASTER: Market-Guided Stock Transformer for Stock Price Forecasting,paper,https://ojs.aaai.org/index.php/AAAI/article/view/27767,2024,2026-06-23,,deep-learning,ml-baseline,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-9d313db2cbca,MDGNN: Multi-Relational Dynamic Graph Neural Network for Comprehensive and Dynamic Stock Investment Prediction,paper,https://ojs.aaai.org/index.php/AAAI/article/view/29381,2024,2026-06-23,,deep-learning,ml-baseline,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-c25af34f7b9d,StockMixer: A Simple Yet Strong MLP-Based Architecture for Stock Price Forecasting,paper,https://ojs.aaai.org/index.php/AAAI/article/view/28681,2024,2026-06-23,,,,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-493f75e00abe,Deep-learning-based stock market prediction incorporating ESG sentiment and technical indicators,paper,https://www.nature.com/articles/s41598-024-61106-2,2024,2026-06-23,,sentiment,text-event,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-a92c425ecbaa,Algorithmic Trading and AI: A Review of Strategies and Market Impact,paper,https://wjaets.com/content/algorithmic-trading-and-ai-review-strategies-and-market-impact,2024,2026-06-23,,,,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-7750c4c0d6fd,Enhancing portfolio management using artificial intelligence: literature review,paper,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2024.1371502/full,2024,2026-06-23,,portfolio,portfolio-construction,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-c3ab1681dbb1,Forecasting relative returns for S&P 500 stocks using machine learning,paper,https://link.springer.com/article/10.1186/s40854-024-00644-0,2024,2026-06-23,,machine-learning,ml-ranking,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-26fb2f172cad,Machine learning-based analysis of volatility quantitative investment strategies for American financial stocks,paper,https://www.aimspress.com/article/doi/10.3934/QFE.2024014,2024,2026-06-23,,machine-learning;volatility,ml-ranking;volatility-overlay,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-04c3ba0d0d41,An interval constraint-based trading strategy with social sentiment for the stock market,paper,https://link.springer.com/article/10.1186/s40854-023-00567-2,2024,2026-06-23,,sentiment,text-event,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-4106d27594e4,Risk-Adjusted Deep Reinforcement Learning for Portfolio Optimization: A Multi-reward Approach,paper,https://link.springer.com/article/10.1007/s44196-025-00875-8,2025,2026-06-23,,deep-learning;portfolio;risk,ml-baseline;portfolio-construction;risk-control,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-16ff34611117,01 master market guided stock transformer,paper,refdocs/papers/en/pdfs/01_master_market_guided_stock_transformer.pdf,,2026-06-23,,deep-learning,ml-baseline,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-afc8db2de324,02 mdgnn stock investment prediction,paper,refdocs/papers/en/pdfs/02_mdgnn_stock_investment_prediction.pdf,,2026-06-23,,deep-learning,ml-baseline,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-44c2fabcf4a0,03 stockmixer mlp stock forecasting,paper,refdocs/papers/en/pdfs/03_stockmixer_mlp_stock_forecasting.pdf,,2026-06-23,,,,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-2bb9c8d6daef,04 esg sentiment technical indicators,paper,refdocs/papers/en/pdfs/04_esg_sentiment_technical_indicators.pdf,,2026-06-23,,sentiment,text-event,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-ce93eaa0b083,05 algorithmic trading ai review,paper,refdocs/papers/en/pdfs/05_algorithmic_trading_ai_review.pdf,,2026-06-23,,,,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-258bd0626aa8,06 ai portfolio management review,paper,refdocs/papers/en/pdfs/06_ai_portfolio_management_review.pdf,,2026-06-23,,portfolio,portfolio-construction,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-3d19c9ad91a5,07 sp500 relative returns ml,paper,refdocs/papers/en/pdfs/07_sp500_relative_returns_ml.pdf,,2026-06-23,,,,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-b5d086650daa,08 volatility quant investment strategies,paper,refdocs/papers/en/pdfs/08_volatility_quant_investment_strategies.pdf,,2026-06-23,,volatility,volatility-overlay,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-b69fcc965872,09 social sentiment interval trading strategy,paper,refdocs/papers/en/pdfs/09_social_sentiment_interval_trading_strategy.pdf,,2026-06-23,,sentiment,text-event,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-57db0f17806f,10 risk adjusted drl portfolio optimization,paper,refdocs/papers/en/pdfs/10_risk_adjusted_drl_portfolio_optimization.pdf,,2026-06-23,,portfolio;risk,portfolio-construction;risk-control,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-2bcf5b9d2e15,2312.15235-MASTER-AAAI2024,paper,refdocs/papers/en/pdfs/2312.15235-MASTER-AAAI2024.pdf,,2026-06-23,,,,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-56abf31e2126,2402.03659-SEP-WWW2024,paper,refdocs/papers/en/pdfs/2402.03659-SEP-WWW2024.pdf,,2026-06-23,,,,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-0989f8c51430,2402.06698-FNSPID-KDD2024,paper,refdocs/papers/en/pdfs/2402.06698-FNSPID-KDD2024.pdf,,2026-06-23,,,,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-5fbb0563f4c4,2403.02647-FinReport-WWW2024,paper,refdocs/papers/en/pdfs/2403.02647-FinReport-WWW2024.pdf,,2026-06-23,,,,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-31e4a6b22236,2406.14537-MacroHFT-KDD2024,paper,refdocs/papers/en/pdfs/2406.14537-MacroHFT-KDD2024.pdf,,2026-06-23,,,,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-29877a20458a,2410.21100-mSSRM-NeurIPS2024,paper,refdocs/papers/en/pdfs/2410.21100-mSSRM-NeurIPS2024.pdf,,2026-06-23,,,,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-35291069e7ba,2502.04737-UMI-KDD2025,paper,refdocs/papers/en/pdfs/2502.04737-UMI-KDD2025.pdf,,2026-06-23,,,,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-931e15b1ecde,2502.05218-FactorGCL-2025,paper,refdocs/papers/en/pdfs/2502.05218-FactorGCL-2025.pdf,,2026-06-23,,multifactor,factor-model,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-6e57acf7623f,2024-2026 量化投资策略 · 高影响力论文索引,paper,refdocs/papers/en/quant-strategy-papers-2024-2026-index.md,,2026-06-23,,,,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-fe3cd26fa58d,FinRL: Deep Reinforcement Learning Framework to Automate Trading in Quantitative Finance,paper,https://arxiv.org/abs/2111.09395v1,2021-11-07,2026-06-23,,deep-learning,ml-baseline,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-59a8c76a1392,A New Strategy for the Exploration of Venus,paper,https://arxiv.org/abs/2412.06830v1,2024-12-06,2026-06-23,,,,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-ef96dbdf6161,FinRL: A Deep Reinforcement Learning Library for Automated Stock Trading in Quantitative Finance,paper,https://arxiv.org/abs/2011.09607v2,2020-11-19,2026-06-23,,deep-learning,ml-baseline,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-994e36eb1fcb,FinRL-Podracer: High Performance and Scalable Deep Reinforcement Learning for Quantitative Finance,paper,https://arxiv.org/abs/2111.05188v1,2021-11-07,2026-06-23,,deep-learning,ml-baseline,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-b5a3e711e438,Quantum Game Theory in Finance,paper,https://arxiv.org/abs/quant-ph/0406129v1,2004-06-18,2026-06-23,,,,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-6b6bac551488,Deep Reinforcement Learning for Automated Stock Trading: An Ensemble Strategy,paper,https://arxiv.org/abs/2511.12120v1,2025-11-15,2026-06-23,,deep-learning,ml-baseline,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-e5807d8fec75,Self-Financing Trading and the Ito-Doeblin Lemma,paper,https://arxiv.org/abs/1501.02750v1,2015-01-12,2026-06-23,,,,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-c0c98f3498f6,Biased Roulette Wheel: A Quantitative Trading Strategy Approach,paper,https://arxiv.org/abs/1609.09601v1,2016-09-30,2026-06-23,,,,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-7a985e2fa100,Analysis of trade packages in Chinese stock market,paper,https://arxiv.org/abs/1103.1526v1,2011-03-08,2026-06-23,,,,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-29541328e81e,151 Estrategias de Trading (151 Trading Strategies),paper,https://arxiv.org/abs/1912.04492v1,2019-11-14,2026-06-23,,,,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-02fe1175d492,Econophysics: Empirical facts and agent-based models,paper,https://arxiv.org/abs/0909.1974v2,2009-09-10,2026-06-23,,,,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-a9e1537523b0,Trading strategies for stock pairs regarding to the cross-impact cost,paper,https://arxiv.org/abs/1701.03098v3,2017-01-11,2026-06-23,,,,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-27b62a4c6081,Quantitative statistical analysis of order-splitting behaviour of individual trading accounts in the Japanese stock market over nine years,paper,https://arxiv.org/abs/2308.01112v1,2023-08-02,2026-06-23,,,,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-e292f48987ad,A Rational Finance Explanation of the Stock Predictability Puzzle,paper,https://arxiv.org/abs/1911.02194v1,2019-11-06,2026-06-23,,,,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-88c41bf1b8e8,Ensemble properties of high frequency data and intraday trading rules,paper,https://arxiv.org/abs/1202.2447v2,2012-02-11,2026-06-23,,,,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-c7ee72282d04,Dynamic Grid Trading Strategy: From Zero Expectation to Market Outperformance,paper,https://arxiv.org/abs/2506.11921v1,2025-06-13,2026-06-23,,,,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-dff1ddacd6e7,AI for trading strategies,paper,https://arxiv.org/abs/2208.07168v1,2022-06-26,2026-06-23,,,,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-2729629125b4,"International Trade Finance from the Origins to the Present: Market Structures, Regulation and Governance",paper,https://arxiv.org/abs/2009.08668v1,2020-09-18,2026-06-23,,,,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-0cebb0644b0c,"Trading networks, abnormal motifs and stock manipulation",paper,https://arxiv.org/abs/1301.0007v1,2012-12-31,2026-06-23,,,,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-7f664e3671ef,Intraday trading strategy based on time series and machine learning for Chinese stock market,paper,https://arxiv.org/abs/2103.13507v1,2021-03-24,2026-06-23,,machine-learning,ml-ranking,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-139365da9c06,The Cross‐Section of Expected Stock Returns,paper,https://doi.org/10.1111/j.1540-6261.1992.tb04398.x,1992,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-9c22af34aef1,On Persistence in Mutual Fund Performance,paper,https://doi.org/10.1111/j.1540-6261.1997.tb03808.x,1997,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-637daed43ca6,Editor's Choice Digesting Anomalies: An Investment Approach,paper,https://doi.org/10.1093/rfs/hhu068,,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-78d77b05e9b7,Do Domestic Firms Benefit from Direct Foreign Investment? Evidence from Venezuela,paper,https://doi.org/10.1257/aer.89.3.605,1999,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-c44353829357,"Contrarian Investment, Extrapolation, and Risk",paper,https://doi.org/10.3386/w4360,1993,2026-06-23,,risk,risk-control,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-016525491501,Investor Sentiment and the Cross-section of Stock Returns,paper,https://doi.org/10.2139/ssrn.464843,2003,2026-06-23,,sentiment,text-event,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-1837e6ff00b1,Stock Prices and Social Dynamics,paper,https://openalex.org/W3122885231,1984,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-72ec30a9d312,Can ChatGPT Forecast Stock Price Movements? Return Predictability and Large Language Models,paper,https://doi.org/10.2139/ssrn.4412788,2023,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-20d1e9cd10f6,"Stock Prices, News, and Economic Fluctuations",paper,https://doi.org/10.1257/aer.96.4.1293,2006,2026-06-23,,sentiment,text-event,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-6fbd45946be0,Investor Psychology and Security Market Under‐ and Overreactions,paper,https://doi.org/10.1111/0022-1082.00077,1998,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-e8a6b742a06f,Stock Market Wealth and Consumption,paper,https://doi.org/10.1257/jep.14.2.99,2000,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-361fc174c89e,Conditioning Variables and the Cross Section of Stock Returns,paper,https://doi.org/10.1111/0022-1082.00148,1999,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-d8d693bccfb9,Stock Liquidity and Stock Price Crash Risk,paper,https://doi.org/10.1017/s0022109017000473,2017,2026-06-23,,risk,risk-control,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-19db4feb1293,Evidence on the Characteristics of Cross Sectional Variation in Stock Returns,paper,https://doi.org/10.2307/2329554,1997,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-2b3e49c606ec,Land grab or development opportunity? Agricultural investment and international land deals in Africa.,paper,https://openalex.org/W1467794965,2009,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-413699e88c35,"Fiscal Policy, Profits, and Investment",paper,https://doi.org/10.1257/00028280260136255,2002,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-cf38b003e38a,Taking Stock: A Critical Assessment of Recent Research on Inventories,paper,https://doi.org/10.1257/jep.5.1.73,1991,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-586606290f92,Equity Vesting and Investment,paper,https://doi.org/10.1093/rfs/hhx018,2017,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-35ecfed4e778,Trading Volume and Cross‐Autocorrelations in Stock Returns,paper,https://doi.org/10.1111/0022-1082.00231,2000,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-be4b1ad0f29b,The fit between product market strategy and business model: implications for firm performance,paper,https://doi.org/10.1002/smj.642,2007,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-cad12b5044b4,"Shaping the Next One Hundred Years: New Methods for Quantitative, Long-Term Policy Analysis",paper,https://doi.org/10.7249/mr1626,2003,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-43f913a8768a,Strategies to achieve a carbon neutral society: a review,paper,https://doi.org/10.1007/s10311-022-01435-8,2022,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-ef97bbddf2a5,ESG Integration and the Investment Management Process: Fundamental Investing Reinvented,paper,https://doi.org/10.1007/s10551-015-2610-8,2015,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-93913c76443f,Distribution of the Estimators for Autoregressive Time Series with a Unit Root,paper,https://doi.org/10.1080/01621459.1979.10482531,1979,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-6a7fb6811af2,The quantitative and condition-dependent Escherichia coli proteome,paper,https://doi.org/10.1038/nbt.3418,2015,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-d1fe7e20423f,Research on Quantitative Investment Strategy of Stock Index Futures Based on XGBoost Model,paper,https://doi.org/10.5220/0011825700003612,2022,2026-06-23,,machine-learning,ml-ranking,crossref_metadata,,,,,,screen,collected,T5.2,
