category,interface,name,project_module,source_html,linked_intelligence,status
资金面,hm_list,游资名录,资金流诊断层 / 北向、基金、融资、ETF、游资,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
资金面,margin,融资融券交易汇总,资金流诊断层 / 北向、基金、融资、ETF、游资,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
资金面,margin_detail,融资融券交易明细,资金流诊断层 / 北向、基金、融资、ETF、游资,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
资金面,fund_share,基金份额规模,资金流诊断层 / 北向、基金、融资、ETF、游资,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
资金面,etf_share_size,ETF 份额规模,资金流诊断层 / 北向、基金、融资、ETF、游资,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
市场情绪,limit_list,涨跌停统计,市场宽度与情绪层 / 热度、涨跌停、成交统计,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
市场情绪,limit_list_d,涨跌停与炸板数据,市场宽度与情绪层 / 热度、涨跌停、成交统计,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
市场情绪,daily_info,沪深市场交易统计,市场宽度与情绪层 / 热度、涨跌停、成交统计,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
市场情绪,sz_daily_info,深圳市场交易统计,市场宽度与情绪层 / 热度、涨跌停、成交统计,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
市场情绪,daily_basic,个股每日基本面指标,市场宽度与情绪层 / 热度、涨跌停、成交统计,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
市场情绪,dc_hot,东方财富热门榜,市场宽度与情绪层 / 热度、涨跌停、成交统计,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
市场情绪,ths_hot,同花顺热门榜,市场宽度与情绪层 / 热度、涨跌停、成交统计,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
市场情绪,dc_concept,东方财富题材库,市场宽度与情绪层 / 热度、涨跌停、成交统计,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
市场情绪,news,新闻快讯,市场宽度与情绪层 / 热度、涨跌停、成交统计,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
信息与事件驱动,income,利润表,文本事件层 / 财报、公告、业绩预告、管理层,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
信息与事件驱动,balancesheet,资产负债表,文本事件层 / 财报、公告、业绩预告、管理层,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
信息与事件驱动,cashflow,现金流量表,文本事件层 / 财报、公告、业绩预告、管理层,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
信息与事件驱动,fina_indicator,财务指标,文本事件层 / 财报、公告、业绩预告、管理层,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
信息与事件驱动,forecast,业绩预告,文本事件层 / 财报、公告、业绩预告、管理层,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
信息与事件驱动,anns_d,上市公司公告,文本事件层 / 财报、公告、业绩预告、管理层,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
信息与事件驱动,stk_managers,上市公司管理层,文本事件层 / 财报、公告、业绩预告、管理层,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
量化与技术面,stk_factor,股票技术面因子,基础行情与技术因子层 / 价量、筹码、技术指标,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
量化与技术面,stk_factor_pro,股票技术面因子（专业版）,基础行情与技术因子层 / 价量、筹码、技术指标,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
量化与技术面,daily,历史日线行情,基础行情与技术因子层 / 价量、筹码、技术指标,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
量化与技术面,cyq_chips,筹码分布,基础行情与技术因子层 / 价量、筹码、技术指标,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
量化与技术面,cyq_perf,筹码绩效,基础行情与技术因子层 / 价量、筹码、技术指标,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
主题与概念,concept,概念股分类,主题轮动层 / 概念成分、板块体系,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
主题与概念,concept_detail,概念股明细,主题轮动层 / 概念成分、板块体系,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
主题与概念,tdx_index,通达信板块,主题轮动层 / 概念成分、板块体系,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
国际市场,us_daily,美股日线行情,外部市场层 / 美股、港股、美债、全球风险偏好,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
国际市场,us_daily_adj,美股复权行情,外部市场层 / 美股、港股、美债、全球风险偏好,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
国际市场,hk_daily,港股日线行情,外部市场层 / 美股、港股、美债、全球风险偏好,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
国际市场,hk_daily_adj,港股复权行情,外部市场层 / 美股、港股、美债、全球风险偏好,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
国际市场,us_tycr,美国国债收益率曲线,外部市场层 / 美股、港股、美债、全球风险偏好,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
国际市场,us_tbr,美国短期国债利率,外部市场层 / 美股、港股、美债、全球风险偏好,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
国际市场,us_tltr,美国长期国债利率,外部市场层 / 美股、港股、美债、全球风险偏好,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
特殊因子,share_float,限售股解禁,交易事件与治理风险层 / 解禁、增减持、回购、ST、股东、分红,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
特殊因子,stk_holdertrade,股东增减持,交易事件与治理风险层 / 解禁、增减持、回购、ST、股东、分红,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
特殊因子,repurchase,股票回购,交易事件与治理风险层 / 解禁、增减持、回购、ST、股东、分红,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
特殊因子,st,ST 风险警示,交易事件与治理风险层 / 解禁、增减持、回购、ST、股东、分红,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
特殊因子,stock_st,ST 股票列表,交易事件与治理风险层 / 解禁、增减持、回购、ST、股东、分红,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
特殊因子,namechange,股票曾用名,交易事件与治理风险层 / 解禁、增减持、回购、ST、股东、分红,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
特殊因子,fina_audit,财务审计意见,交易事件与治理风险层 / 解禁、增减持、回购、ST、股东、分红,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
特殊因子,top10_holders,前十大股东,交易事件与治理风险层 / 解禁、增减持、回购、ST、股东、分红,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
特殊因子,stock_basic,股票基本信息,交易事件与治理风险层 / 解禁、增减持、回购、ST、股东、分红,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
公司基本面,dividend,分红送股,公司价值层 / 分红、基本面质量补充,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
