intelligence_id,title,source_type,source_path_or_url,published_at,collected_at,market_scope,topic_tags,strategy_tags,evidence_type,quality_score,novelty_score,actionability_score,data_availability,bias_risk,recommended_action,status,linked_strategy_task,reviewed_at
"INT-EN-002","MDGNN: Multi-Relational Dynamic Graph Neural Network for Comprehensive and Dynamic Stock Investment Prediction","paper","refdocs/papers/en/markdown/02_mdgnn_stock_investment_prediction.md","2024","2026-06-07","international equities","gnn;relation-model","graph-factor;relation-signal","top-conference","5","5","2","missing","relation-data;graph-leakage;complexity","research_only_until_relation_data","screened","T2.10","2026-06-07"
"INT-EN-003","StockMixer: A Simple Yet Strong MLP-Based Architecture for Stock Price Forecasting","paper","refdocs/papers/en/markdown/03_stockmixer_mlp_stock_forecasting.md","2024","2026-06-07","international equities","mlp;forecasting;kiss","simple-ml;ranking-baseline","top-conference","5","4","3","partial","benchmark-transfer;feature-leakage","candidate_ml_baseline_later","evaluated","T2.10","2026-06-07"
"INT-EN-004","Deep-learning-based stock market prediction incorporating ESG sentiment and technical indicators","paper","refdocs/papers/en/markdown/04_esg_sentiment_technical_indicators.md","2024","2026-06-07","international equities","sentiment;technical;esg","text-factor;technical-factor","journal-backtest","4","4","2","external_required","sentiment-license;text-delay;market-transfer","wait_for_text_event_layer","screened","T1.3;T2.10","2026-06-07"
"INT-EN-005","Algorithmic Trading and AI: A Review of Strategies and Market Impact","paper","refdocs/papers/en/markdown/05_algorithmic_trading_ai_review.md","2024","2026-06-07","global","review;ai-trading","taxonomy;risk-control","literature-review","3","2","3","ready","review-not-empirical","use_for_taxonomy","screened","T5.2","2026-06-07"
"INT-EN-006","Enhancing portfolio management using artificial intelligence: literature review","paper","refdocs/papers/en/markdown/06_ai_portfolio_management_review.md","2024","2026-06-07","global","ai;portfolio;review","portfolio-construction;explainability","literature-review","4","3","3","ready","review-not-empirical;model-risk","use_for_architecture_reference","screened","T5.2","2026-06-07"
"INT-EN-007","Forecasting relative returns for S&P 500 stocks using machine learning","paper","refdocs/papers/en/markdown/07_sp500_relative_returns_ml.md","2024","2026-06-07","S&P 500","relative-return;ml","cross-sectional-ranking","journal-backtest","4","3","3","partial","market-transfer;survivorship","extract_ranking_design","screened","T2.5","2026-06-07"
"INT-EN-008","Machine learning-based analysis of volatility quantitative investment strategies for American financial stocks","paper","refdocs/papers/en/markdown/08_volatility_quant_investment_strategies.md","2024","2026-06-07","US financial stocks","volatility;ml","volatility-overlay;risk-scaling","journal-backtest","3","3","3","partial","sector-specific;market-transfer","use_as_volatility_overlay_reference","screened","T2.10","2026-06-07"
"INT-EN-009","An interval constraint-based trading strategy with social sentiment for the stock market","paper","refdocs/papers/en/markdown/09_social_sentiment_interval_trading_strategy.md","2024","2026-06-07","international equities","social-sentiment;interval-trading","sentiment-overlay;trading-constraint","journal-backtest","3","4","2","external_required","sentiment-source;license;delay","wait_for_text_event_layer","screened","T1.3;T2.10","2026-06-07"
"INT-EN-010","Risk-Adjusted Deep Reinforcement Learning for Portfolio Optimization: A Multi-reward Approach","paper","refdocs/papers/en/markdown/10_risk_adjusted_drl_portfolio_optimization.md","2025","2026-06-07","portfolio allocation","drl;portfolio;risk-adjusted","rl-allocation;multi-reward","journal-backtest","4","4","1","external_required","complexity;sample-efficiency;execution-risk","archive_phase3_research","archived","","2026-06-07"
"INT-KMS-001","A股个股行情影响因子全景图","manual_note","/home/zj/workspace/KMS/My_logseq/pages/A股个股行情影响因子全景图.md","","2026-06-23","A股个股 / 全市场","multifactor;macro;industry;style;fund-flow;text-event","factor-taxonomy;market-regime;data-source-mapping;text-event-layer","local_knowledge_graph_note","4","4","5","partial","manual-taxonomy;source-maintenance;lookahead-risk;text-event-lag;license-risk","use_as_market_regime_and_data_gap_blueprint","screened","T1.3;T2.5;T2.10;T5.2","2026-06-23"
