信号日期,盘前检查时间,交易动作,策略信号动作,股票代码,股票名称,收盘价,当前权重,目标权重,权重变化,动量分数,当日排名,持有天数,成交价口径,最大成交参与率,执行风险提示,连续模拟说明,观察理由,策略参数
2026-06-08,2026-06-09 07:30,候选观察,候选观察,SZ.002938,鹏鼎控股,112.00,0.00%,0.00%,0.00%,0.3983,3,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,排名进入买入前5；动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,候选观察,候选观察,SH.603986,兆易创新,474.01,0.00%,0.00%,0.00%,0.3117,6,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,候选观察,候选观察,SH.688347,华虹公司,213.80,0.00%,0.00%,0.00%,0.3004,7,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,候选观察,候选观察,SZ.300502,新易盛,725.00,0.00%,0.00%,0.00%,0.2861,8,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,候选观察,候选观察,SH.600487,亨通光电,95.47,0.00%,0.00%,0.00%,0.2731,10,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,候选观察,候选观察,SZ.002463,沪电股份,137.00,0.00%,0.00%,0.00%,0.2606,11,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,候选观察,候选观察,SH.688498,源杰科技,1389.88,0.00%,0.00%,0.00%,0.2403,14,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,候选观察,候选观察,SZ.300308,中际旭创,1154.99,0.00%,0.00%,0.00%,0.2285,15,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,候选观察,候选观察,SZ.300757,罗博特科,609.01,0.00%,0.00%,0.00%,0.1888,17,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,候选观察,候选观察,SH.600522,中天科技,49.53,0.00%,0.00%,0.00%,0.1293,18,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,候选观察,候选观察,SH.688072,拓荆科技,568.47,0.00%,0.00%,0.00%,0.1275,19,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,候选观察,候选观察,SZ.300620,光库科技,299.67,0.00%,0.00%,0.00%,0.1272,20,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
